player_name,role_group,window_minutes,pred_net,pred_off,pred_def,rank_net
K. De Bruyne,DMCM,12715,0.170498320563285,0.12209276815091,-0.0484055524123744,1
L. Messi,CF,16636,0.166991756476801,0.138363551771874,-0.0286282047049276,2
Rodri,DMCM,15704,0.16691520026065,0.0941188873731628,-0.0727963128874873,3
D. Tadić,CF,18840,0.161112295373298,0.110359698337117,-0.0507525970361809,4
Mohamed Salah,CF,20046,0.156152614614893,0.113765298847204,-0.0423873157676887,5
L. de Jong,CF,11916,0.155442749776592,0.109316293482548,-0.0461264562940431,6
S. Gnabry,AMWIDE,9513,0.154857537158195,0.118762860117132,-0.0360946770410629,7
Gabriel Jesus,CF,9805,0.154515133739375,0.0960483100196335,-0.0584668237197414,8
Gonçalo Ramos,CF,8472,0.15394779530094,0.108526123113876,-0.0454216721870639,9
M. Taremi,CF,12534,0.153571202628139,0.104067531049893,-0.0495036715782464,10
T. Müller,AMWIDE,13513,0.151999793994397,0.107644975156208,-0.0443548188381885,11
Saleh Al Shehri,CF,2119,0.151301973411407,0.117072390356165,-0.0342295830552421,12
M. Tillman,DMCM,7113,0.148069915973139,0.0977155807545137,-0.0503543352186255,13
Rúben Dias,CB,16827,0.146976101109219,0.083678828428184,-0.0632972726810348,14
J. Forrest,CF,4403,0.14674944113753,0.0988227721388493,-0.0479266689986805,15
Malcom,AMWIDE,6126,0.144609723279414,0.0992173767197962,-0.0453923465596175,16
K. Benzema,CF,14444,0.142642179846442,0.114486805310223,-0.0281553745362187,17
Jordi Alba,FBWB,14924,0.14234244137827,0.102053417441525,-0.0402890239367452,18
Salem Al Dawsari,AMWIDE,9791,0.141662232214737,0.0965561196520516,-0.045106112562685,19
S. Mané,CF,16178,0.141282203243115,0.0973704955831326,-0.0439117076599824,20
D. Núñez,CF,11688,0.141153543691934,0.1083016292391,-0.032851914452834,21
Diogo Jota,CF,8800,0.14111119183291,0.0998120742193236,-0.0412991176135866,22
V. Osimhen,CF,13560,0.141023341590794,0.103009591438334,-0.0380137501524598,23
E. Haaland,CF,15699,0.138728814594625,0.109012682718277,-0.0297161318763476,24
B. Barcola,CF,7187,0.138530570448785,0.104795502359704,-0.033735068089081,25
Michael,AMWIDE,8209,0.138507138985012,0.0940155229258363,-0.0444916160591759,26
R. Lewandowski,CF,17826,0.137942358363744,0.107052983575596,-0.030889374788148,27
Pote,AMWIDE,12980,0.137388810640104,0.0866331830156321,-0.0507556276244716,28
Aymeric Laporte,CB,11303,0.137047909695431,0.0782057747334811,-0.0588421349619503,29
O. Dembélé,CF,11918,0.135476688711463,0.103292027151313,-0.0321846615601499,30
J. Grealish,AMWIDE,10109,0.135105944505659,0.0845563580210532,-0.0505495864846054,31
D. Undav,CF,8085,0.13510442926907,0.104627487109237,-0.030476942159833,32
Lamine Yamal,AMWIDE,7234,0.134818892443027,0.101362341527643,-0.0334565509153846,33
João Cancelo,FBWB,15437,0.134774983741098,0.0812257884377554,-0.0535491953033422,34
Ansu Fati,,3843,0.134693336135895,0.0987094784185535,-0.035983857717341,35
P. David,CF,2139,0.133974219029692,0.0943531432689399,-0.0396210757607523,36
C. Carter-Vickers,CB,13867,0.133723215789723,0.0722701069079759,-0.0614531088817472,37
G. de Arrascaeta,AMWIDE,8159,0.132680733178691,0.0936240512748397,-0.039056681903851,38
M. O'Riley,DMCM,8837,0.132623909844319,0.0900711310303549,-0.042552778813964,39
J. Musiala,AMWIDE,11706,0.13249986629228,0.0885555315574232,-0.0439443347348567,40
M. Verratti,DMCM,7192,0.132499392579948,0.0887381968090299,-0.0437611957709182,41
D. Upamecano,CB,14906,0.132204084821796,0.0757471929998931,-0.0564568918219027,42
A. Morelos,CF,7903,0.131406941071198,0.085897782544341,-0.0455091585268571,43
J. Kimmich,DMCM,17736,0.13109849431804,0.0874056902087942,-0.0436928041092457,44
K. Mbappé,CF,18809,0.130741483953839,0.109934867095472,-0.0208066168583663,45
David Neres,AMWIDE,8127,0.130284294740769,0.0861268657389021,-0.0441574290018674,46
Nasser Al Dawsari,FBWB,4289,0.130175398078387,0.0762178193272329,-0.0539575787511538,47
G. Taylor,FBWB,13428,0.12965510762035,0.0736544145493436,-0.0560006930710064,48
Rafa,AMWIDE,16521,0.129504181876227,0.0918630396752749,-0.0376411422009517,49
Neymar,CF,9133,0.129327583529496,0.10208351245256,-0.0272440710769355,50
Otávio,AMWIDE,13907,0.129262495145927,0.0696699320874298,-0.0595925630584971,51
L. Goretzka,DMCM,11624,0.1292103064923,0.0849645158024583,-0.0442457906898418,52
P. Foden,CF,14542,0.129208281033698,0.0802419754195059,-0.0489663056141923,53
B. Brobbey,CF,8251,0.129177159712364,0.103799560152498,-0.0253775995598654,54
İ. Gündoğan,DMCM,15813,0.128959198953562,0.0862118495637219,-0.0427473493898406,55
T. Alexander-Arnold,FBWB,16404,0.128938634274969,0.0881281970174518,-0.0408104372575176,56
K. Coman,AMWIDE,9729,0.128764506053456,0.0831994901308187,-0.0455650159226376,57
A. Ralston,FBWB,6398,0.128080055279483,0.0780466707296632,-0.0500333845498195,58
David Silva,AMWIDE,6016,0.127657179018231,0.0751721693628938,-0.0524850096553375,59
O. Zinchenko,FBWB,8763,0.127612299968885,0.0746971957656038,-0.0529151042032816,60
J. Stones,CB,10260,0.127326767298676,0.0678703554465429,-0.0594564118521331,61
L. Palma,CF,2263,0.127122105019545,0.0842724415520029,-0.0428496634675425,62
N. Aké,CB,8936,0.126733544997104,0.0743509917562566,-0.0523825532408471,63
Yang Hyun-Jun,CF,2279,0.125533660537695,0.0837271546956288,-0.041806505842066,64
A. Hakimi,FBWB,17157,0.125418535135028,0.0837563448158314,-0.0416621903191967,65
K. Furuhashi,CF,9299,0.125056355297511,0.0903308274414901,-0.0347255278560207,66
Pedri,DMCM,13225,0.124488991579532,0.084742404888386,-0.0397465866911457,67
R. Cabella,AMWIDE,7328,0.123594366279217,0.0828140376614357,-0.0407803286177814,68
Jota,CF,7699,0.12310025299107,0.0823438062130069,-0.0407564467780633,69
J. Stanišić,CB,5213,0.123095785373289,0.0746081487659048,-0.0484876366073846,70
Musab Al Juwayr,DMCM,4163,0.122530689695964,0.0869975456619181,-0.0355331440340462,71
A. Mitrović,CF,12001,0.122373443776401,0.0916622266330567,-0.0307112171433447,72
Roberto Firmino,CF,9762,0.122259802046315,0.0868243361850868,-0.035435465861228,73
Vinícius Júnior,CF,16975,0.121949303638367,0.0900981331283955,-0.0318511705099713,74
L. Díaz,CF,13710,0.121931644700741,0.0790046218373042,-0.0429270228634366,75
Fábio Vieira,DMCM,5734,0.121530735468615,0.0750740530474897,-0.0464566824211255,76
L. Sané,AMWIDE,13361,0.121290254962728,0.0848871986468118,-0.0364030563159167,77
