target,base_feature,column,coef,is_deviation,candidate,constrained,expected,violation,at_zero
defense,last_man_tackle_p90,last_man_tackle_p90,-0.00987484249087787,FALSE,S3,TRUE,nonpos,FALSE,FALSE
defense,pen_goals_conceded_p90,pen_goals_conceded_p90,0.00872685960382515,FALSE,S3,TRUE,nonneg,FALSE,FALSE
defense,fifty_fifty_success,fifty_fifty_success,-0.00476653919028897,FALSE,S3,TRUE,nonpos,FALSE,FALSE
defense,errors_total_p90,errors_total_p90,0.00329611026085013,FALSE,S3,TRUE,nonneg,FALSE,FALSE
defense,tackles_p90,tackles_p90,-0.00316110442932657,FALSE,S3,TRUE,nonpos,FALSE,FALSE
defense,error_lead_to_goal_p90,error_lead_to_goal_p90,0.00308774928881659,FALSE,S3,TRUE,nonneg,FALSE,FALSE
defense,aerial_poss_woe_per90,aerial_poss_woe_per90,-0.00305313151091459,FALSE,S3,TRUE,nonpos,FALSE,FALSE
defense,aerial_woe_per90,aerial_woe_per90,-0.00303844366720103,FALSE,S3,TRUE,nonpos,FALSE,FALSE
defense,blocks_p90,blocks_p90,-0.00278659747075055,FALSE,S3,TRUE,nonpos,FALSE,FALSE
defense,clearances_p90,dev__AMWIDE__clearances_p90,-0.00181778238297632,TRUE,S3,TRUE,nonpos,FALSE,FALSE
defense,containment_woe_per90,containment_woe_per90,-0.00171687311411029,FALSE,S3,TRUE,nonpos,FALSE,FALSE
defense,aerial_won_p90,dev__DMCM__aerial_won_p90,-0.0014101394489481,TRUE,S3,TRUE,nonpos,FALSE,FALSE
defense,aerial_won_p90,aerial_won_p90,-0.00114498204304244,FALSE,S3,TRUE,nonpos,FALSE,FALSE
defense,poss_won_def3rd_p90,poss_won_def3rd_p90,-0.000972972777094151,FALSE,S3,TRUE,nonpos,FALSE,FALSE
defense,clearances_p90,clearances_p90,-0.000892288724210494,FALSE,S3,TRUE,nonpos,FALSE,FALSE
defense,poss_lost_ctrl_p90,poss_lost_ctrl_p90,0.000645668494528638,FALSE,S3,TRUE,nonneg,FALSE,FALSE
defense,fifty_fifty_won_p90,fifty_fifty_won_p90,-0.000563168740534998,FALSE,S3,TRUE,nonpos,FALSE,FALSE
defense,clearances_p90,dev__DMCM__clearances_p90,-0.000536941239458774,TRUE,S3,TRUE,nonpos,FALSE,FALSE
defense,clearances_effective_p90,clearances_effective_p90,-0.000530503705281737,FALSE,S3,TRUE,nonpos,FALSE,FALSE
defense,unsuccessful_touch_p90,unsuccessful_touch_p90,0.000443351687349381,FALSE,S3,TRUE,nonneg,FALSE,FALSE
defense,aerial_won_p90,dev__CB__aerial_won_p90,-0.000383108156762629,TRUE,S3,TRUE,nonpos,FALSE,FALSE
defense,aerial_won_p90,dev__FBWB__aerial_won_p90,-0.000331962049872553,TRUE,S3,TRUE,nonpos,FALSE,FALSE
defense,aerial_lost_p90,aerial_lost_p90,0,FALSE,S3,TRUE,nonneg,FALSE,TRUE
defense,aerial_won_p90,dev__AMWIDE__aerial_won_p90,0,TRUE,S3,TRUE,nonpos,FALSE,TRUE
defense,aerial_won_p90,dev__CF__aerial_won_p90,0,TRUE,S3,TRUE,nonpos,FALSE,TRUE
defense,back_zone_pass_accuracy,back_zone_pass_accuracy,0,FALSE,S3,TRUE,nonpos,FALSE,TRUE
defense,ball_recovery_p90,ball_recovery_p90,0,FALSE,S3,TRUE,nonpos,FALSE,TRUE
defense,blocked_passes_p90,blocked_passes_p90,0,FALSE,S3,TRUE,nonpos,FALSE,TRUE
defense,clearance_off_line_p90,clearance_off_line_p90,0,FALSE,S3,TRUE,nonpos,FALSE,TRUE
defense,clearances_p90,dev__CB__clearances_p90,0,TRUE,S3,TRUE,nonpos,FALSE,TRUE
defense,clearances_p90,dev__FBWB__clearances_p90,0,TRUE,S3,TRUE,nonpos,FALSE,TRUE
defense,clearances_p90,dev__CF__clearances_p90,0,TRUE,S3,TRUE,nonpos,FALSE,TRUE
defense,error_lead_to_shot_p90,error_lead_to_shot_p90,0,FALSE,S3,TRUE,nonneg,FALSE,TRUE
defense,fouls_p90,fouls_p90,0,FALSE,S3,TRUE,nonneg,FALSE,TRUE
defense,gsaa_per90,gsaa_per90,0,FALSE,S3,TRUE,nonpos,FALSE,TRUE
defense,interceptions_p90,interceptions_p90,0,FALSE,S3,TRUE,nonpos,FALSE,TRUE
defense,interceptions_won_p90,interceptions_won_p90,0,FALSE,S3,TRUE,nonpos,FALSE,TRUE
defense,penalty_conceded_p90,penalty_conceded_p90,0,FALSE,S3,TRUE,nonneg,FALSE,TRUE
defense,poss_lost_ctrl_per_touch,poss_lost_ctrl_per_touch,0,FALSE,S3,TRUE,nonneg,FALSE,TRUE
defense,poss_won_mid3rd_p90,poss_won_mid3rd_p90,0,FALSE,S3,TRUE,nonpos,FALSE,TRUE
defense,six_yard_block_p90,six_yard_block_p90,0,FALSE,S3,TRUE,nonpos,FALSE,TRUE
defense,tackle_poss_woe_per90,tackle_poss_woe_per90,0,FALSE,S3,TRUE,nonpos,FALSE,TRUE
defense,tackles_won_p90,tackles_won_p90,0,FALSE,S3,TRUE,nonpos,FALSE,TRUE
offense,xa_per90_xmetrics,xa_per90_xmetrics,0.03999254955993,FALSE,S3,TRUE,nonneg,FALSE,FALSE
offense,penalty_won_p90,penalty_won_p90,0.0336634684055862,FALSE,S3,TRUE,nonneg,FALSE,FALSE
offense,xg_per90,xg_per90,0.020939020433267,FALSE,S3,TRUE,nonneg,FALSE,FALSE
offense,big_chance_scored_p90,big_chance_scored_p90,0.013001012598665,FALSE,S3,TRUE,nonneg,FALSE,FALSE
offense,assists_p90,assists_p90,0.00636381123829644,FALSE,S3,TRUE,nonneg,FALSE,FALSE
offense,key_passes_p90,key_passes_p90,0.000985414287665503,FALSE,S3,TRUE,nonneg,FALSE,FALSE
offense,goals_p90,goals_p90,0,FALSE,S3,TRUE,nonneg,FALSE,TRUE
offense,npg_minus_npxg_per90,npg_minus_npxg_per90,0,FALSE,S3,TRUE,nonneg,FALSE,TRUE
