candidate,n_pairs,cor_pooled,cor_s0,wcor_pooled,wcor_s0,boot_delta,ci_lo,ci_hi,p_gt0,clears_s0_ci
S1,68610,0.612015891720775,0.600040586574977,0.672015736008458,0.675448492966235,0.011991884364668,0.00692754869019682,0.0168997494757399,1,TRUE
S2,68610,0.614322665086819,0.600040586574977,0.674869021566678,0.675448492966235,0.014300208638491,0.00917277007343049,0.0191251065196065,1,TRUE
S3,68610,0.614197070395873,0.600040586574977,0.67489540135113,0.675448492966235,0.0141763176783726,0.00901980880846027,0.0190389941257443,1,TRUE
S4a,68610,0.625074990689098,0.600040586574977,0.691187409947303,0.675448492966235,0.0250320604598207,0.020020502252081,0.0297577644747794,1,TRUE
S4b,68610,0.618155401802666,0.600040586574977,0.679270830447209,0.675448492966235,0.0181291513195077,0.012940233032636,0.0229482464640287,1,TRUE
S5,68610,0.614197070395873,0.600040586574977,0.67489540135113,0.675448492966235,0.0141763176783726,0.00901980880846027,0.0190389941257443,1,TRUE
