candidate,scope,vintage,sd_pred,sd_s0,sd_target,ratio_pred,ratio_s0,n
S1,pooled,,0.0241783477653608,0.0393583887566641,0.0490848996789769,0.492582197854964,0.801843112934411,68610
S1,vintage,2019,0.0202647099351007,0.0381031224466298,0.0387954456838273,0.522347651326211,0.982154522908703,8253
S1,vintage,2020,0.0209584083980224,0.0384263737370442,0.0462827285037361,0.452834330982249,0.830252990247588,9125
S1,vintage,2021,0.0234119912543999,0.0390057562629056,0.0477661923754481,0.490137272621162,0.816597562483431,9497
S1,vintage,2022,0.0246459434289527,0.0393796989418898,0.0497344837129237,0.495550402638409,0.791798687791682,10032
S1,vintage,2023,0.025386300908159,0.0396932950887574,0.0503505292135496,0.504191342269495,0.788339183495131,10415
S1,vintage,2024,0.0257897803228566,0.0401041275654887,0.052281954239661,0.493282638300704,0.767073996156515,10462
S1,vintage,2025,0.0263723970175235,0.040104670187338,0.0542343176884903,0.486267701734548,0.739470355609343,10826
S2,pooled,,0.0244661648996695,0.0393583887566641,0.0490848996789769,0.498445857273462,0.801843112934411,68610
S2,vintage,2019,0.0204099209618579,0.0381031224466298,0.0387954456838273,0.526090642911887,0.982154522908703,8253
S2,vintage,2020,0.0210123166134346,0.0384263737370442,0.0462827285037361,0.453999089784398,0.830252990247588,9125
S2,vintage,2021,0.0237232269345544,0.0390057562629056,0.0477661923754481,0.4966530877757,0.816597562483431,9497
S2,vintage,2022,0.0249834368371878,0.0393796989418898,0.0497344837129237,0.502336306161266,0.791798687791682,10032
S2,vintage,2023,0.0258057983474024,0.0396932950887574,0.0503505292135496,0.512522882092329,0.788339183495131,10415
S2,vintage,2024,0.0261364014935215,0.0401041275654887,0.052281954239661,0.499912481727673,0.767073996156515,10462
S2,vintage,2025,0.0266791033471633,0.040104670187338,0.0542343176884903,0.491922909409537,0.739470355609343,10826
S3,pooled,,0.0244285737678304,0.0393583887566641,0.0490848996789769,0.497680018245881,0.801843112934411,68610
S3,vintage,2019,0.0203930375662162,0.0381031224466298,0.0387954456838273,0.525655452766651,0.982154522908703,8253
S3,vintage,2020,0.0211837613212352,0.0384263737370442,0.0462827285037361,0.457703381068494,0.830252990247588,9125
S3,vintage,2021,0.0236383642818118,0.0390057562629056,0.0477661923754481,0.49487646191288,0.816597562483431,9497
S3,vintage,2022,0.0249149934690789,0.0393796989418898,0.0497344837129237,0.500960130859963,0.791798687791682,10032
S3,vintage,2023,0.0257359934621056,0.0396932950887574,0.0503505292135496,0.511136503708881,0.788339183495131,10415
S3,vintage,2024,0.0260742769102345,0.0401041275654887,0.052281954239661,0.498724221185569,0.767073996156515,10462
S3,vintage,2025,0.026609910593329,0.040104670187338,0.0542343176884903,0.490647098137572,0.739470355609343,10826
S4a,pooled,,0.0334030478443215,0.0393583887566641,0.0490848996789769,0.680515760708136,0.801843112934411,68610
S4a,vintage,2019,0.027701059963086,0.0381031224466298,0.0387954456838273,0.714028656581044,0.982154522908703,8253
S4a,vintage,2020,0.0287777753530221,0.0384263737370442,0.0462827285037361,0.621782169793621,0.830252990247588,9125
S4a,vintage,2021,0.03195200960518,0.0390057562629056,0.0477661923754481,0.668925196172918,0.816597562483431,9497
S4a,vintage,2022,0.0339698827670796,0.0393796989418898,0.0497344837129237,0.683024739196246,0.791798687791682,10032
S4a,vintage,2023,0.0353452649138055,0.0396932950887574,0.0503505292135496,0.701983980424459,0.788339183495131,10415
S4a,vintage,2024,0.0359325881971336,0.0401041275654887,0.052281954239661,0.68728471840242,0.767073996156515,10462
S4a,vintage,2025,0.0367602800835574,0.040104670187338,0.0542343176884903,0.677804785794487,0.739470355609343,10826
S4b,pooled,,0.0501124097799592,0.0393583887566641,0.0490848996789769,1.0209333238471,0.801843112934411,68610
S4b,vintage,2019,0.0437560030051098,0.0381031224466298,0.0387954456838273,1.12786442413137,0.982154522908703,8253
S4b,vintage,2020,0.043915977803422,0.0384263737370442,0.0462827285037361,0.948863198501294,0.830252990247588,9125
S4b,vintage,2021,0.0481018751482805,0.0390057562629056,0.0477661923754481,1.00702762259537,0.816597562483431,9497
S4b,vintage,2022,0.0508479231115405,0.0393796989418898,0.0497344837129237,1.02238767381288,0.791798687791682,10032
S4b,vintage,2023,0.052485739484184,0.0396932950887574,0.0503505292135496,1.04240690820902,0.788339183495131,10415
S4b,vintage,2024,0.0534328917447763,0.0401041275654887,0.052281954239661,1.02201404905102,0.767073996156515,10462
S4b,vintage,2025,0.0543847647926709,0.040104670187338,0.0542343176884903,1.00277402040982,0.739470355609343,10826
S5,pooled,,0.0244285737678304,0.0393583887566641,0.0490848996789769,0.497680018245881,0.801843112934411,68610
S5,vintage,2019,0.0203930375662162,0.0381031224466298,0.0387954456838273,0.525655452766651,0.982154522908703,8253
S5,vintage,2020,0.0211837613212352,0.0384263737370442,0.0462827285037361,0.457703381068494,0.830252990247588,9125
S5,vintage,2021,0.0236383642818118,0.0390057562629056,0.0477661923754481,0.49487646191288,0.816597562483431,9497
S5,vintage,2022,0.0249149934690789,0.0393796989418898,0.0497344837129237,0.500960130859963,0.791798687791682,10032
S5,vintage,2023,0.0257359934621056,0.0396932950887574,0.0503505292135496,0.511136503708881,0.788339183495131,10415
S5,vintage,2024,0.0260742769102345,0.0401041275654887,0.052281954239661,0.498724221185569,0.767073996156515,10462
S5,vintage,2025,0.026609910593329,0.040104670187338,0.0542343176884903,0.490647098137572,0.739470355609343,10826
