"minutes_band","n_players","mean_window_minutes","mean_r_hat","median_r_hat","mean_rapm_shrunk","sd_rapm_shrunk","mean_eiv_rapm","sd_eiv_rapm"
"<900",9387,381.933471822734,0.0447873378681091,0.0411646225687686,-0.00574850437699807,0.0199609941496481,-0.0143712609424952,0.0499024853741202
"900-1800",3317,1290.24175459753,0.138141918755258,0.13543578147602,-0.00784129937735186,0.0325675544324303,-0.0196032484433797,0.0814188860810757
"1800-3600",3323,2599.23094593239,0.243333289752026,0.241400290228023,-0.007386269872723,0.0403387562970037,-0.0184656746818075,0.100846890742509
">3600",6446,7956.20173751163,0.475755156391727,0.47217700430126,0.0174200317751129,0.0618615370431668,0.029621422720751,0.123530304070948
