vintage,n,cor_candidate,cor_s0,wcor_candidate,wcor_s0,candidate,sd_pred_pooled,sd_target_pooled,boot_vs_s0_delta,boot_vs_s0_lo,boot_vs_s0_hi,boot_vs_s4a_delta,boot_vs_s4a_lo,boot_vs_s4a_hi
2019,8253,0.720736290428856,0.689389807164921,0.784915243641142,0.751542020453862,S6,0.0329239732320459,0.0490848996789769,-6.76968809839118e-05,-0.00317300608496869,0.00303516831794203,0.0499977922597531,0.0485589973611305,0.0513357893858723
2020,9125,0.684897223244437,0.662708306448952,0.747851453503125,0.732187577150925,S6,0.0329239732320459,0.0490848996789769,-6.76968809839118e-05,-0.00317300608496869,0.00303516831794203,0.0499977922597531,0.0485589973611305,0.0513357893858723
2021,9497,0.669465002787417,0.669300118906138,0.737615329244228,0.73951278380195,S6,0.0329239732320459,0.0490848996789769,-6.76968809839118e-05,-0.00317300608496869,0.00303516831794203,0.0499977922597531,0.0485589973611305,0.0513357893858723
2022,10032,0.672772397656208,0.674638186562103,0.738905311024416,0.738634954298795,S6,0.0329239732320459,0.0490848996789769,-6.76968809839118e-05,-0.00317300608496869,0.00303516831794203,0.0499977922597531,0.0485589973611305,0.0513357893858723
2023,10415,0.670525866181348,0.672421612118779,0.735800546013909,0.733365289345262,S6,0.0329239732320459,0.0490848996789769,-6.76968809839118e-05,-0.00317300608496869,0.00303516831794203,0.0499977922597531,0.0485589973611305,0.0513357893858723
2024,10462,0.660882498383463,0.679468194539109,0.724961626260878,0.737255143360433,S6,0.0329239732320459,0.0490848996789769,-6.76968809839118e-05,-0.00317300608496869,0.00303516831794203,0.0499977922597531,0.0485589973611305,0.0513357893858723
2025,10826,0.678103426886087,0.690825181526525,0.74173639920791,0.749660996337379,S6,0.0329239732320459,0.0490848996789769,-6.76968809839118e-05,-0.00317300608496869,0.00303516831794203,0.0499977922597531,0.0485589973611305,0.0513357893858723
pooled,68610,0.675094377176061,0.675098460135223,0.739818874468568,0.738325165764045,S6,0.0329239732320459,0.0490848996789769,-6.76968809839118e-05,-0.00317300608496869,0.00303516831794203,0.0499977922597531,0.0485589973611305,0.0513357893858723
