role,stat_name,mean
LW,big_chance_created_p90,0.280998607746628
RW,big_chance_created_p90,0.297012504618404
CM,big_chance_created_p90,0.157851627033634
CAM,big_chance_created_p90,0.282430142780329
CF,big_chance_created_p90,0.219960328162476
CB,big_chance_created_p90,0.0453007400905298
GK,big_chance_created_p90,0.00877697085490058
LM,big_chance_created_p90,0.245344645479657
LB,big_chance_created_p90,0.165296345774412
RWB,big_chance_created_p90,0.169845589591331
LWB,big_chance_created_p90,0.171720561765316
RF,big_chance_created_p90,0.502808988764045
LF,big_chance_created_p90,0.25
DM,total_att_assist_p90,0.911833601726812
UNK,total_att_assist_p90,1.374803991614
RB,total_att_assist_p90,0.773290289268556
RM,total_att_assist_p90,1.17521966423203
LW,total_att_assist_p90,1.38795651708562
RW,total_att_assist_p90,1.40913652008169
CM,total_att_assist_p90,0.972120156392736
CAM,total_att_assist_p90,1.50145911076689
CF,total_att_assist_p90,1.08012042664192
CB,total_att_assist_p90,0.261610611118116
GK,total_att_assist_p90,0.0308787215143873
LM,total_att_assist_p90,1.19202554531933
LB,total_att_assist_p90,0.902395224528154
RWB,total_att_assist_p90,0.81592230148859
LWB,total_att_assist_p90,0.886438272867369
RF,total_att_assist_p90,1.25842696629213
LF,total_att_assist_p90,0.538461538461538
DM,key_passes_p90,1.54520394698097
UNK,key_passes_p90,2.06254922523637
RB,key_passes_p90,1.89598767807753
RM,key_passes_p90,2.06221232208095
LW,key_passes_p90,1.92767691729685
RW,key_passes_p90,1.98537582285894
CM,key_passes_p90,1.6099604269979
CAM,key_passes_p90,1.75952949237588
CF,key_passes_p90,1.36921415077674
CB,key_passes_p90,0.875272947954012
GK,key_passes_p90,0.0351910389034198
LM,key_passes_p90,2.14673287696776
LB,key_passes_p90,1.9231117018008
RWB,key_passes_p90,2.10192066282683
LWB,key_passes_p90,2.06624308242398
RF,key_passes_p90,2.11392009987516
LF,key_passes_p90,1.26332720588235
DM,through_balls_p90,0.168911035956361
UNK,through_balls_p90,0.179723546975121
RB,through_balls_p90,0.0770282459873846
RM,through_balls_p90,0.121027451174981
LW,through_balls_p90,0.191748972298435
RW,through_balls_p90,0.190856203460614
CM,through_balls_p90,0.187510016427378
CAM,through_balls_p90,0.299355036565751
CF,through_balls_p90,0.15612273081129
CB,through_balls_p90,0.0483444686015679
GK,through_balls_p90,0.00382629125483199
LM,through_balls_p90,0.122897749555494
