model,stat_name,n_players,n_player_matches,sd_match,var_between,var_within,lambda
outfield,goals_p90,43897,1891380,0.453573730472575,0.0110062924620658,0.186852444013626,0.0556270228856837
outfield,shots_p90,43897,1891380,1.64715637478798,0.695063237528201,1.9195749539249,0.265835341884116
outfield,shots_on_target_p90,43897,1891380,0.879267749388567,0.107614050636514,0.632985111399238,0.14530674101859
outfield,shots_ibox_p90,43897,1891380,1.21500162028889,0.336667456080856,1.11445823777288,0.232004338085126
outfield,shots_obox_p90,43897,1891380,0.875109527939279,0.125026990176014,0.62424260789985,0.166865158411719
outfield,big_chance_scored_p90,43897,1891380,0.347322333639525,0.00494691861662779,0.111551361989569,0.0424634474507828
outfield,big_chance_missed_p90,43897,1891380,0.43575250532971,0.0125634411451401,0.172836142801828,0.0677641280399732
outfield,assists_p90,43897,1891380,0.364491706187654,0.000782934196015577,0.128358560335585,0.00606260752096215
outfield,big_chance_created_p90,43897,1891380,0.460441263023846,0.00436888279968214,0.200581255645535,0.0213168082384582
outfield,total_att_assist_p90,43897,1891380,1.33463250618643,0.256519696325319,1.43235673124532,0.151887782988545
outfield,key_passes_p90,43897,1891380,1.68994219241687,0.369666146292583,2.43483219003803,0.131811861502564
outfield,through_balls_p90,43897,1891380,0.39757463218821,0.00465369353753023,0.146955194406607,0.0306953873261373
outfield,passes_p90,43897,1891380,20.2925328670112,157.081245982968,228.216238563398,0.40768822087668
outfield,passes_accurate_p90,43897,1891380,19.0570933773822,133.943806803344,200.56689502257,0.40041710496022
outfield,final_third_passes_p90,43897,1891380,7.73182380227364,16.2266723218201,39.2014672333375,0.29275152390191
outfield,long_balls_p90,43897,1891380,3.81035952137982,6.15411803774878,8.01381534267917,0.434369492889505
outfield,crosses_p90,43897,1891380,2.790395303393,2.7835521526241,4.6790192708022,0.373001743592839
outfield,forward_pass_p90,43897,1891380,8.25869059884151,29.7150783419909,35.912884659805,0.452780750503832
outfield,tackles_p90,43897,1891380,1.72782266620916,0.456821404539786,2.48776946184636,0.155139177314788
outfield,tackles_won_p90,43897,1891380,1.31902254586054,0.208668016185964,1.50829248498482,0.12153338183591
outfield,interceptions_p90,43897,1891380,1.40838783809018,0.396073634758965,1.58225182116919,0.200206509789433
outfield,interceptions_won_p90,43897,1891380,1.40836085090884,0.395970947444463,1.58222589450073,0.200167616815675
outfield,clearances_p90,43897,1891380,2.48163395928976,2.41816979972561,3.58675319082521,0.402697886972202
outfield,clearances_effective_p90,43897,1891380,2.44371106023684,2.29101350467785,3.52328985297071,0.394030611021367
outfield,blocks_p90,43897,1891380,0.673563443229369,0.0511534563000442,0.387148613991293,0.116708224230022
outfield,blocked_passes_p90,43897,1891380,1.50006814233224,0.280049729736767,1.95578338583217,0.125255202540242
outfield,duel_won_p90,43897,1891380,3.2789402006161,1.96357186881086,8.80358625731825,0.18236677178965
outfield,duel_lost_p90,43897,1891380,3.57799562454948,4.28741658703916,9.05503402986505,0.32133651531805
outfield,aerial_won_p90,43897,1891380,1.93432233433373,1.15022184383863,2.55206807739183,0.310678490423666
outfield,aerial_lost_p90,43897,1891380,1.93275035785429,1.18791468448424,2.76646735304809,0.300404632938688
outfield,touches_p90,43897,1891380,22.251182754857,187.382657402277,291.17139974485,0.391560064330763
outfield,touches_opp_box_p90,43897,1891380,2.64322047577186,2.33698456076482,4.48851385652016,0.342390316119129
outfield,poss_won_def3rd_p90,43897,1891380,2.02133013777185,0.805299882765247,3.18803634240189,0.201660926442912
